Symptoms,NumberofRecords
fever,1
fever,4
"fever, cough",1
"fever, cough, malaise",1
fever,1
"fever, pneumonia",1
"fever, malaise, sore throa",1
"fever, cough",1
"fever, fever",1
"fever, breathing difficulty",1
fever,1
fever,1
"fever, cough",1
fever,1
"fever, cough",1
"fever, cough, malaise",1
fever,3
"fever, sore throat",1
fever,2
fever,1
"fever, headache, malaise",1
fever,1
"fever, couh",1
fever,1
fever,131
"feeling ill, cough",1
"fatigue, muscle aches, sore throat",1
"fatigue, fever, weakness",1
"fatigue, fever, headache",1
"fatigue, fever",1
"fatigue, fever",3
fatigue,1
"eye irritation, fever",1
"dyspnea, fever",1
"dry throat, sore throat, fatigue",1
"dry throat, dry cough",1
dry cough,2
"dizziness, sore limbs",1
"discomfort, fever",1
discomfort,3
"discharge, cough, sore throat, chest pain",1
breathing difficulty,1
"diarrhea, fever, nasal congestion, pleuritic chest pain, sore throat",1
diarrhea,1
"cough, fever, muscle aches",1
"cough, throat discomfort",1
"cough, sputum, fever",2
"cough, sore body, cold",1
"cough, fever",1
"cough, sputum",1
"cough, sore throat, sputum",1
"cough, sore throat",4
"cough, shortness of breath",1
"cough, runny nose",2
"cough, respiratory problems",1
"cough, phlegm, fever",1
"cough, muscular soreness, weak",1
"cough, muscular soreness, sweating",1
"cough, malaise",1
"cough, high fever, myalgia",1
"cough, headache",1
"cough, fever, weakness",1
"cough, fever, sputum",2
"cough, fever, muscular soreness",1
"cough, fever, sore throat",3
"cough, fever, shortness of breath",3
"cough, fever, shortness of breath",1
"cough, fever, runny nose",4
"cough, fever, pneumonia, respiratory distress",1
"cough, fever, pneumonia",1
"cough, fever, nausea",1
"cough, fever, myalgia, rhinorrhea, sore throat",1
"cough, fever, myalgia",1
"cough, fever, muscular soreness",1
"cough, fever, muscle ache",1
"cough, fever, malaise",1
"cough, fever, headache, muscular soreness, weak",1
"cough, fever, acute coronary syndrome",1
"cough, fever, joint pain",1
"cough, fever",1
"cough, fever",55
"cough, fatigue, fever, weakness",1
"cough, fatigue, fever, sputum",1
"cough, fatigue, fever",3
"cough, expectoration, fever",1
"cough, dyspnea, fever",1
"cough, dyspnea",1
"cough, dizziness",1
"cough, discomfort, fever, other symptoms",1
"cough, breathing difficulty, fever",1
"cough, diarrhea, runny nose",1
"cough, diarrhea, vomiting",1
"cough, diarrhea, fever, rhinorrhoea, sneezing",1
"cough, chest tightness, dry mouth",1
cough,15
"chills, headache, fever",1
"chills, headache, fatigue",1
"chills, fever, runny nose, sore throat, wheezing",1
"chills, fever, sore throat",1
"chills, fever, muscle aches, other symptoms",1
"chills, fever, headache, sore throat",1
"chills,  fever, malaise",1
"chills, fever",2
"chills, fatigue",1
"chills, diarrhea, dyspnea, headache, lack of energy, muscle pain",1
"chills, cough, joint pain",1
"chills, cough, fever",1
"chills, cough, fatigue, fever",1
"chills, conjunctivitis, cough, fever",1
"chest tightness, fatigue",1
"chest tightness, fever, nausea",1
"chest tightness, fever",1
"chest tightness, dyspnea, fever",1
chest tightness,1
"chest pain, nasal congestion",1
"chest pain, cough",1
"chest distress, dyspnea",1
"chest distress, cough, expectoration, muscular soreness",1
asymptomatic,6
fatigue,1
"anhelation, cough, fever, pleural effusion, weakness",1
"acute respiratory viral infection, fever",2
acute pharyngitis,1
"aching muscles, fever, pneumonia",1
"abdominal pain, pulmonary inflammation",1
"abdominal pain, diarrhea, fever, malaise",1
cough,1
